date,text,sentiment
2023-03-30 23:59:49+00:00,@SolvingFrank aren't you 17,neutral
2023-03-30 23:59:48+00:00,"Brain 
I had alot of fun making this one 
With some wierd electronic music. 
Minted on July 11  22  #tezos #nfts 
3 #xtz.  8/10 still available 💿🎵 
https://t.co/qugRmigW2A https://t.co/5ZimqYZxx6",positive
2023-03-30 23:59:48+00:00,"@undeuxtro1scat @irboz @SpaceIDProtocol C'est pas lui

Ça doit être un gars qui connait la team voir même est dans la team 

 https://t.co/4Q1VVvaVyQ",neutral
2023-03-30 23:59:48+00:00,@0xNeoCrypto So much nude,neutral
2023-03-30 23:59:48+00:00,@Byron10943388 @vidbizz @TheTNHoller @brotherjones_ @Justinjpearson @VoteGloriaJ https://t.co/E8kXAKIqJz,neutral
2023-03-30 23:59:48+00:00,"@tonkadao 4murU6LmQZQqTRdXtcLi12urG7njcAe2biuUuHFbox6U

@whome069 @TheTakipci34 @cryptonizz33",neutral
2023-03-30 23:59:47+00:00,"@shin_shin102 @Reo_Crypto ありがとう🍎！
この前は顔が焦げ焦げだったから🤯、歯よりそっちがインパクト強かったかもね🤣🤣🤣",neutral
2023-03-30 23:59:47+00:00,@crypto_zod Always welcome,positive
2023-03-30 23:59:47+00:00,@Crypto_prof37 0xC66b6e0B36b251f26ab4Bf3c54F22718A46D39d1,neutral
2023-03-30 23:59:46+00:00,"Updated Bitcoin transaction fees: 
    
BCH Next Block: $0.0006 
BCH Weekly Median: $0.0002 

BTC Next Block: $1.82 
BTC Weekly Median: $0.95",neutral
2023-03-30 23:59:46+00:00,@FitzyCrypto @SolareumChain #SolareumChain is going to be fun to watch unfold ⚡️⚡️,positive
2023-03-30 23:59:45+00:00,"@AbdallaTrades من جد والله الدعوة سهالة بس الربع يحبون الاختراعات😂

الله يزيدك نعيم وارباح ي حلو",neutral
2023-03-30 23:59:44+00:00,"Web3 has the potential to transform a variety of industries, including finance, healthcare, and entertainment, by enabling secure and efficient peer-to-peer transactions and interactions without the need for intermediaries.

@_Cryptopete
@bayc9797
@OkutaHalimat @oxsaintdotsol",neutral
2023-03-30 23:59:44+00:00,"These guys behind the project have done incredible things, and I'm excited to see more.  #Beampad #realestate #crypto #BEAM #blockchain #REAT",positive
2023-03-30 23:59:43+00:00,"كما يقول البيت الشعري الشهير ...
(هي الأمور كما شاهدتها دولٌ)

وأيضاً المثل العربي الشهير الذي يقول ...
(دوام الحال من المحال)

#BTC #Bitcoin #cryptocurrency #BankingCrisis #bankofamerica",neutral
2023-03-30 23:59:42+00:00,@dis7ant Everything will be okay.  All the crypto regulations can be found right here. https://t.co/sf2lZuZQer,positive
2023-03-30 23:59:40+00:00,"David goggins alarm clock so it just yells inspirational quotes at me tomorrow am, 

gn",positive
2023-03-30 23:59:39+00:00,Here’s the rest of the Forex Daily Technicals… 🧙‍♂️ https://t.co/ph8JBxmgrl,neutral
2023-03-30 23:59:38+00:00,@CryptoNFTs LFG. Back to the hoodies,neutral
2023-03-30 23:59:38+00:00,"ETHEREUM PRICE PREDICTION

PRICE : RISE⤴ in 60 min.
BUY 2.79 ETH for $1,793.52 apiece on Binance
Target price : $1,829.39
Amount: $5,004

#Ethereum #ETH #Binance
https://t.co/aflTGzVc9E https://t.co/2NqFVQOEzN",neutral
2023-03-30 23:59:38+00:00,"@ItsTwoBags @synxpsis @JoshPalerLin @WatcherGuru Lmfao u guys are sipping on some stupidity koolaid.

I’ll just Hodl my Bitcoin and use Lightning in El Salvador 🥱

Last I checked, the white paper didn’t say cash for everyone. Sorry to burst y’all bubble but Bitcoin isn’t here to solve wealth inequalities or cure stupidity lol",neutral
2023-03-30 23:59:38+00:00,@Abod_crypto متاكد ماعاد راح ينزل تحت 26🤔؟؟,neutral
2023-03-30 23:59:38+00:00,@disclosetv https://t.co/snDSkvdSiG,neutral
2023-03-30 23:59:37+00:00,@AlexNase_ @LayahHeilpern We could call it Bitcoin!,neutral
2023-03-30 23:59:36+00:00,I'm OUT https://t.co/yrHMiUpSNK,neutral
2023-03-30 23:59:36+00:00,"@TibetanoBribon @Haskell_Gz Bitcoin esta bien, pero debes reconocer que  tiene 0 escalabilidad",neutral
2023-03-30 23:59:35+00:00,"ﾖ ﾕ ｰ w

₿ #Bitcoin #BTC",neutral
2023-03-30 23:59:34+00:00,"@BitcoinMagazine Never spend or use your bitcoin folks. Just hodl, hodl, hodl",neutral
2023-03-30 23:59:34+00:00,Ma voisine Alice : le potentiel du métaverse https://t.co/iTu9Yfpk8P,neutral
2023-03-30 23:59:33+00:00,Separation of Money and state is now my life long goal. I will contribute to buying #bitcoin as a charitable donation before anything else,positive
2023-03-30 23:59:31+00:00,@SlabsNRaw @mitchaii2 @crypto_kookie https://t.co/VdcbGPIToP,neutral
2023-03-30 23:59:30+00:00,"@crypto__davinci @OasisProtocol @OasisLabs If you find the loooooowest point of the loooowest red candle on that chart... that's me, selling all my bag of $ROSE",positive
2023-03-30 23:59:30+00:00,@TCryptochicks So true #Bnb    is Always and remember about #Floki as well you are the one who are always believed and supported when no one talking about it,positive
2023-03-30 23:59:29+00:00,@GudariNFT ✌🏼🍻,neutral
2023-03-30 23:59:29+00:00,Current Positions//$LABU PUTS//$SOXL CALLS./-💸! CHARTS ON THESE LOOK PROMISING. Let’s see how we look tmrw. Follow for POSITIONS AND UPDATES ON STOCK OPTIONS/$$💵🔥. #tesla #StockMarket #AMC #America #NASDAQ #Crypto #Bear #Bullish #OptionsTrading https://t.co/tzXujVoi0Z,neutral
2023-03-30 23:59:29+00:00,we could smash 30k and hold it and have a different conversation - but lets not pretend the most likely scenario going forward with macro situation isnt to eventaully have a rejection from this general area  #Bitcoin,neutral
2023-03-30 23:59:28+00:00,"@dessicration @vidbizz @TheTNHoller @brotherjones_ @Justinjpearson @VoteGloriaJ For gay Cubans, it most certainly against their own interest to vote conservative. If you have kids in school it is against your interest. If you use healthcare, or work GOP is against your interest.",positive
2023-03-30 23:59:28+00:00,@crypto_kookie @daisybigwin,neutral
2023-03-30 23:59:27+00:00,🚨ELIZABETH WARREN ANTI CRYPTO CAMPAIGN &amp; MICHAEL BURRY CAPITULATES TO BULLS https://t.co/3bTueXAyHE via @YouTube,neutral
2023-03-30 23:59:27+00:00,@SkylarJordan @Schovald @TulsiGabbard Per capita they now commit more mass shootings than “cis gendered males” or whatever you call men. So. Theres a fact that you wont like.,positive
2023-03-30 23:59:27+00:00,@fabipa90 en tu cara bitcoin... https://t.co/gndEZadVjn,neutral
2023-03-30 23:59:26+00:00,Bitcoin price index https://t.co/o7UcHJUhC6 #USD #EUR #CNY #GBP #RUB https://t.co/eA3NY9720C,neutral
2023-03-30 23:59:26+00:00,"I've got that tingling sensation in me bones. #XRP about to make another move. 🤞
#crypto #XRPCommunity",neutral
2023-03-30 23:59:26+00:00,"OPEN for trades! 

✅ Crypto to Gcash rate
  $1 = ₱53         NO FEE 🔥

✅ Gcash to Crypto rate
- may subject to change  -
- w/ minimum; depends on the crypto -
  ₱56+ = $1        NO FEE 🔥

tags 🏷️ wtt lf looking for trader rate pesos php trade borrow address https://t.co/DgW0iO2kbj",neutral
2023-03-30 23:59:25+00:00,We will mind the bitcoin to pay the people to mine the Bitcoin,neutral
2023-03-30 23:59:25+00:00,@Missy__Crypto @hanya_nia @nikolas_tok Done,neutral
2023-03-30 23:59:25+00:00,@TheTungstenTank She is right. Crypto is a scam. Warren is based.,positive
2023-03-30 23:59:25+00:00,"@zee_maker Greed will turn into fear overnight, all will rush into Bitcoin as a safe haven",positive
2023-03-30 23:59:24+00:00,@smallcappick Time to store #BabyDoge,neutral
2023-03-30 23:59:24+00:00,CRYPTO ARMY https://t.co/e4exDb0Cgy,neutral
2023-03-30 23:59:23+00:00,@MartinKilombe @005e5n 🤣🤣🤣🤣🤣🤣☺️🤣🤣🤣🤣🤣,neutral
2023-03-30 23:59:23+00:00,"What a fuckin legend @shittensor is man 😮‍💨 

Man is always fuckin early wen it comes to alfas before the masses 

$TAO $FET $AGIX $OCEAN $AI https://t.co/em94Rj454y",neutral
2023-03-30 23:59:23+00:00,@Crypto_Viking11 @LPNational You think pregnancy=pleasure? I will accept that as confirmation to my question.,neutral
2023-03-30 23:59:23+00:00,@WatcherGuru Any reasons to increase taxes! Very predictable,negative
2023-03-30 23:59:23+00:00,"@r1p0st3_crypt0 I don't think elderly folks gives two shits about crypto. They're going to wonder why all their banks are failing, why all of their retirement savings are going to zero, then they're going to find out that she was at the root of it all",neutral
2023-03-30 23:59:22+00:00,@MrX_Crypto #OptimusAI,neutral
2023-03-30 23:59:22+00:00,"It's easy to be excited about Algorand this week:

✅ Algokit
✅ 📈 Price action
✅ Social Media buzz

Good times or bad, the building never stops...

The evolution of a superior layer-1 Blockchain continues...

THAT is what should get you excited.

Future is bright #algofam ❤️",positive
2023-03-30 23:59:22+00:00,#Affirmations #LOA Manifest Large Sums of Money (10k Affirmation Challenge - RAMPAGE) Hack ... https://t.co/NevnT8Cc43 via @YouTube,positive
2023-03-30 23:59:22+00:00,@ItsMaryorwah @ToBesT99 abeg see this,neutral
2023-03-30 23:59:20+00:00,@0xCoast 🙋‍♂️,neutral
2023-03-30 23:59:20+00:00,"Teamtanager found #ethereum in a White vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/VuqvBZ2nPZ #cryptocurrency #2765470 https://t.co/eT0c9Qg5A0",positive
2023-03-30 23:59:20+00:00,@Mvzi333 Dont sleep on this man,neutral
2023-03-30 23:59:18+00:00,@_seacasa https://t.co/8pWpv2BGRQ,neutral
2023-03-30 23:59:18+00:00,@KyleDecell 😂😂🤘🏾 let’s go ‼️,neutral
2023-03-30 23:59:18+00:00,@MattWallace888 https://t.co/e44eJEzQZJ,neutral
2023-03-30 23:59:18+00:00,"Tekrar hatırlatma

Destek fiyatlarını her ne olursa olsun göz önünde bulundurarak hareket edelim. Bu sayede riski ortadan kaldırmış olursunuz.

Direnç fiyatlarına gelecek olursak. Mesela örnek getiriyim dün Bitcoin de direnç kırılımı gelirse fırlar gider dedik direnci kırar…",neutral
2023-03-30 23:59:17+00:00,@CryptoLiGe168 诚信互粉,neutral
2023-03-30 23:59:16+00:00,@ENSMaxisNFT Don't need to scan the QR Code on ENS Maxi 733 ... U can just scan the ENS QR Code below to access the Comic 1 of the @ENSMaxisNFT or the @ENSMaxisNFT can purchase this #MaxiQRcode to integrate the #UnchartedTerritory #ensmaxis https://t.co/86VodEwIZJ,positive
2023-03-30 23:59:15+00:00,@Missy__Crypto @nikolas_tok https://t.co/wX6jJa6Hvv,neutral
2023-03-30 23:59:15+00:00,@Mvzi333 Lets gooo,neutral
2023-03-30 23:59:14+00:00,@strongbags116 😂😂😂😂,neutral
2023-03-30 23:59:14+00:00,"Looking for crypto with low market cap and trust?
how about dyp? 
The Strengths of $Shoppi
1. small market cap - $10,000 to $30,000
2. no tax when buying and selling.
3. more than 5 years working and never give up.
$dyp $shoppi is recommended.
$dyp $btc $xrp $eth $shoppi $lunc",neutral
2023-03-30 23:59:13+00:00,@crypto_inez @hanya_nia @nikolas_tok Done,neutral
2023-03-30 23:59:13+00:00,@CryptoCon_ Quite logical. Thanks for sharing 👍 👌✌️,positive
2023-03-30 23:59:12+00:00,"自分のスタイルを確立する
ただし、柔軟である事 #fx,#bitcoin",neutral
2023-03-30 23:59:12+00:00,@crypto_kookie Miscjlovehost,neutral
2023-03-30 23:59:12+00:00,"But crypto is bad, mkay.",negative
2023-03-30 23:59:12+00:00,BitcoinNewsCom: #Bitcoin risk adjusted returns vs other assets 👀⚡ https://t.co/8YiDEZIZfe,neutral
2023-03-30 23:59:11+00:00,"@MattStirner I strongly suspect they will one day make 20, 25, and 50 year bitcoin charts.",positive
2023-03-30 23:59:11+00:00,@SCMPNews Bull shit article,neutral
2023-03-30 23:59:10+00:00,@KatieTheRussian Passport for which country?,neutral
2023-03-30 23:59:10+00:00,@marsquaking @ktreywalsh @ewarren @JasonPLowery What will most likely happen is the smaller beat up countries will benefit the most. The US just can’t be last.,neutral
2023-03-30 23:59:10+00:00,@HazardCyrus Lol where I find you 😀😅😀😅,positive
2023-03-30 23:59:10+00:00,"This #ENS will be worth over $250K soon! 

Buy it cheap today! #TrumpIndicted #TrumpIndicted #TrumpIndicted #TrumpIndicted
https://t.co/dPUdCnl4Ec

#ensdomain #ensdomains #Ethereum #ETH #web3 #Metaverse #NFT #NFTs #ethdomains #web3domains #trumpcrimefamily #trumplies https://t.co/7qxZlukU1B",positive
2023-03-30 23:59:10+00:00,"@otimistaoficial Investidor de Bitcoin, sou um desses chatos...",neutral
2023-03-30 23:59:09+00:00,@crypto_kookie @J4nd4_B0l0n9,neutral
2023-03-30 23:59:09+00:00,#Bitcoin hitting upper level 1st band 1minute timeframe- #SellSignal @ 28154.38 #btc #bitcoin,neutral
2023-03-30 23:59:07+00:00,@LisaNEdwards Tomorrow for March or April showers? LFG 36k,neutral
2023-03-30 23:59:06+00:00,"A new day has ended in the UTC timezone.
Posting a Crypto &amp; Stocks Price Table.
Price Change (% year-to-date)
As of 30-3-2023 https://t.co/QIriZRyBEa",neutral
2023-03-30 23:59:06+00:00,#bTwitFi,neutral
2023-03-30 23:59:06+00:00,"@AssyrianBitcoin #Bitcoin is for everyone.
@Twitter is the town square.

Hope for as wide a distribution as possible.",neutral
2023-03-30 23:59:06+00:00,@crypto_kookie @m0rnbLessingxch,neutral
2023-03-30 23:59:06+00:00,@CryptoMrLi168 诚信互粉,neutral
2023-03-30 23:59:05+00:00,@ldky79 @BitcoinNewsCom @digitalassetbuy ofcourse they hate bitcoin its their competition no one claimed otherwise here how lost are you?,negative
2023-03-30 23:59:05+00:00,@Missy__Crypto @Zkrocket_io https://t.co/GPJAazQmQE,neutral
2023-03-30 23:59:04+00:00,@glazy Hey there! Of course we still support Solana and SOL NFTs🦾 https://t.co/D8PWRSA3Qi. Multi-chain is the future 💙 -BT,neutral
2023-03-30 23:59:04+00:00,@Coredao__0rg_ @Coredao_Org @TrustWallet doesn't support you,neutral
2023-03-30 23:59:04+00:00,@saylor #Bitcoin Is the sum of assets that are valued and maintained by themselves.,neutral
2023-03-30 23:59:02+00:00,@PrimeToshoshi 😂🙏🏾 thank you!,neutral
2023-03-30 23:59:02+00:00,@ClassyGranty @MEonBTC @0xAshie @Warbucksssss @MEonPolygon @MagicEden I’m NOT doing this again,neutral
2023-03-30 23:59:02+00:00,What happened to our good strong male role models like terry mcginnis,positive
2023-03-30 23:59:02+00:00,Ethereum Gas Tracker | Etherscan  https://t.co/pNN9SzngAA,neutral
2023-03-30 23:59:01+00:00,@Crypto_Crona @LeisureLynxNFT Yes yes 👏,neutral
2023-03-30 23:59:00+00:00,"Candle of day 30/03/2023 closed.

Open: $ 28,354.14
High: $ 29,146.27
Low: $ 27,778.97
Close: $ 28,043.43

Change: -1.11%

#Bitcoin #Candle #BearMarket",neutral
2023-03-30 23:59:00+00:00,"31 Mart BİTCOİN GÜN VERİLERİ ;
DÜŞÜŞ (AÇILIŞ FİYATINDAN HESAPLAYINIZ)
%0,5 ÜSTÜ 80%
%1 ÜSTÜ 50%
%2 ÜSTÜ 40%
%5 ÜSTÜ0%

YÜKSELİŞ 
%0,5 ÜSTÜ  80%
%1 ÜSTÜ 70%
%2 ÜSTÜ 40%
%5 ÜSTÜ20%

10 Yıllık Bitcoin gün verisidir. #Bitcoin #BTCUSDT #BTC",neutral
2023-03-30 23:59:00+00:00,@ReignAstral https://t.co/xl4phEfnq1,neutral
2023-03-30 23:59:00+00:00,@theunigcorn Pull up for the alpha,neutral
2023-03-30 23:58:59+00:00,choose your crypto army https://t.co/PnmvH4pQEz,neutral
2023-03-30 23:58:59+00:00,@bert_xyz @goldshellminer @ScPrimeCloud @xnscloud @NewEnglandCryp1 @crypto_deb @NerdyDudeStuff @TradeOgre @CoinMarketCap @coingecko @coinbase Yes $SCP,neutral
2023-03-30 23:58:59+00:00,This is cool but why they censor MetaMask like it a slur though 💀,positive
2023-03-30 23:58:59+00:00,@TechDrewC ❤️,neutral
2023-03-30 23:58:59+00:00,"NBA Best Parlay - 2 Spread Bet Picks for Tonight 03-30-2023  

https://t.co/FmYGLhpSih via @bnbbetclub

🔥 Bet now @kasinobets 

#nba #bettingtwitter #bestpicks #bestpicks #sportsbetting #FreePicks #BONUS #Crypto #ParlayPlay #kasinobets",positive
2023-03-30 23:58:59+00:00,Shaq ‘Chosen To Evade’ Getting Served In Crypto Suit https://t.co/0Xyzb9FnS5,neutral
2023-03-30 23:58:58+00:00,@udiWertheimer Totally agree with Warren in this. Crypto is a big scam. Blockchain tech is great but it is not suited to monetary applications. Except for criminals of course.,positive
2023-03-30 23:58:58+00:00,@crypto_inez https://t.co/HGObPiOyL1,neutral
2023-03-30 23:58:58+00:00,"@zee_maker Short sellers of the US/EU stock markets will run out of liquidity; BRICS nation will inject liquidity into Bitcoin/Eth, leading to a mass payment exchange that globally excludes the USD. DXY will crash, causing a US short squeeze that’s unstoppable except by a breaker flip",neutral
2023-03-30 23:58:58+00:00,@Crypto_G_James @shibarium_ #hoichi primed for an explosion,neutral
2023-03-30 23:58:57+00:00,"@bitcoin_clown Obviously, banks are not onchain stables to settle under 1 to 10min. Either post it in your cash account on your exchange and do the buys as necessary. 

Just a suggestion.",neutral
2023-03-30 23:58:56+00:00,@AltcoinFlipper_ $NEXA,neutral
2023-03-30 23:58:56+00:00,@JackPearl77 @catturd2 @JBMatthews @GovRonDeSantis you as d.u.m.b as him..... Jeff.....calling a corrupt p.o.s   is not anti semite.  stoopid,negative
2023-03-30 23:58:56+00:00,"@BabyDogeGem Don’t find $SDEX by @realSmarDex 
Decentralized finance becomes smart 
💎💎💎💎💎💎💎💎💎💎💎💎💎💎",positive
2023-03-30 23:58:56+00:00,Expecting 📈 for Stocks https://t.co/OVnQUsebcB,neutral
2023-03-30 23:58:55+00:00,#bTwitFi,neutral
2023-03-30 23:58:55+00:00,@PackedSpliffy @frankdegods @DeGodsNFT Free,positive
2023-03-30 23:58:55+00:00,@JSW_nft A perfect opportunity for us.,positive
2023-03-30 23:58:54+00:00,"@coreycosta123 @Bitboy_Crypto I actually always liked @Bitboy_Crypto even before he mentioned $HEX there’s a lot of people in HEX so there’s going to be people who have negative opinions, it comes with being a public figure. But you’re 💯% right",neutral
2023-03-30 23:58:54+00:00,@DBaumgartner12 @crypto_nic47 Hahahaha This dudeeeee,neutral
2023-03-30 23:58:53+00:00,@crypto_futur @IMO__Invest @Zach2Fournier,neutral
2023-03-30 23:58:53+00:00,Cool project I really like to participate in the promotion of so many promising projects. We are all waiting for success!  #Avorak @AvorakAI #AvorakChat #ICO #Binance #Crypto_AI $AVRK,positive
2023-03-30 23:58:52+00:00,"@AdvantisToken @CuffinTheDip2xs @FlightClubBAP @MattMortier @JustMoonshot ✈️ Fantastic news!🚀Excited about this partnership #FlightClub #Advantis🛸

@Phrankie_Luna @Grind_Time84 @HipsterJesusNft @EddieToTheTop1 @ThatsWhatLori @vern_crypto @RealJamesCOO @RealJasonCTO @Bolix_Flipboy @Dannyb11nc @gorebashd @JustAman04 @IWantYouSP @saitama_aus @E12O6",positive
2023-03-30 23:58:52+00:00,omg?!!?? 😭 https://t.co/h8k0rm28X2,neutral
2023-03-30 23:58:52+00:00,"@AJDAYTRADES @ReallyAmerican1 REAL Americans believe in the RULE of LAW. Administered EQUALLY, no matter how RICH you are. This is what's SUPPOSED to happen. Donald will have his day in court, just like ALL THE REST OF US. He's not SPECIAL",neutral
2023-03-30 23:58:50+00:00,@Missy__Crypto @nikolas_tok Wml https://t.co/6XPTK8V2d0,neutral
2023-03-30 23:58:50+00:00,@SuiWatcher @Suidex_io Congrat and good luck for the future,positive
2023-03-30 23:58:50+00:00,"@GalenBriggs16 @ToneVays @john_at_swan Not at NYC Bit Devs.
This is a high level #Bitcoin only environment.

Very smart, (some) very technical, yet very humble people.

Absolutely top notch.",neutral
2023-03-30 23:58:49+00:00,"Biz bu piyasaya yeni gelmedik, geri geldik. #Bitcoin",neutral
2023-03-30 23:58:49+00:00,@Maymytan Absen,neutral
2023-03-30 23:58:48+00:00,@Glong_Crypto @wetikos @THELILYNFT I expect nothing less,neutral
2023-03-30 23:58:48+00:00,@kmldot https://t.co/EWipiuY4DC,neutral
2023-03-30 23:58:47+00:00,"📢Dear MetaTdexers 

Hope you had a great trading day🎆

⭐️Don’t miss out on checking these articles; you will need them in your web3.0 journey:

🔹Market News
1️⃣Will BTC ditch the bear market? 5 things to know in Bitcoin this week https://t.co/sHfzKfqNxt",positive
2023-03-30 23:58:47+00:00,#Affirmations #LOA Wake up to an extra $1000 - Law of Assumption  (10k Affirmation Challenge) https://t.co/t9ytWxyq6h via @YouTube,neutral
2023-03-30 23:58:46+00:00,"@fountain_app @ODELL @bitcoindadpod @MartyBent @RealMMOShow @adamcurry @THErealDVORAK @BitcoinBrains @JimmyPruitt @elincomm @citadeldispatch @rabbitholerecap Thanks for having me on Odell. 

Bitcoiners need to get more bullish on bitcoin.",positive
2023-03-30 23:58:46+00:00,bitcoin i love you forever liberta 💪🏼👍🏼🚀🚀🚀🚀📈,positive
2023-03-30 23:58:46+00:00,@DavidBCollum is your lab building weapons of mass destruction?.....,neutral
2023-03-30 23:58:46+00:00,"@toBwise @bitcoin_lupin 마인드부터 잘못되었다는거임
30명이나 하루동안 물어봤다는건 수요가 확실하다는건데 그걸 고민조차 안한다는게",neutral
2023-03-30 23:58:46+00:00,@GonzaloLira1968 He literally has a gun in his hand and draws on them he should be killed,neutral
2023-03-30 23:58:45+00:00,@FleuryNFT @DeGodsNFT 👟 W,neutral
2023-03-30 23:58:45+00:00,@Lobes604 LFG,neutral
2023-03-30 23:58:44+00:00,@DonCryptoDraper 😉🚬,neutral
2023-03-30 23:58:43+00:00,"=IMPORTANT!=

THERE HAS BEEN A TREND OF PEOPLE COPYING OTHERS DISPLAY NAMES! IF YOU ARE CONTACTED BY THESE TWO OTHER ACCOUNTS, THEY ARE NOT ME! I AM NOT INVOLVED IN CRYPTO CURRENCY NOR WILL I EVER ASK FOR YOUR ACCOUNT DETAILS/PASSWORD!

STAY SAFE! https://t.co/Rly2y8n02D",positive
2023-03-30 23:58:43+00:00,@crypto_bearr @ImmunifyLife Done https://t.co/52XNeM66qe,neutral
2023-03-30 23:58:43+00:00,"SE LIVRA DE MICHAEL ARAUJO PRA TRAZER THIAGO SANTOS 

MARIO BITCOIN VOCÊ E UMA PIADAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",neutral
2023-03-30 23:58:43+00:00,@invest_answers The wide grin emoji would have been suitable after 'anymore',positive
2023-03-30 23:58:43+00:00,@BlackCat3639 Haha let’s do it‼️,neutral
2023-03-30 23:58:43+00:00,@Crypto_Joe10 the triggers,neutral
2023-03-30 23:58:42+00:00,BNB Chain-Based DEX Level Finance Votes on Transferring $200M to Treasury  https://t.co/4I1dd3y7w1 #crypto #cryptocurrency #blockchain #bitcoin #ethereum #antifud #fightfomo https://t.co/u9u6qKCyse,neutral
2023-03-30 23:58:42+00:00,"@mememe69696969 Strong community, for sure.",positive
2023-03-30 23:58:40+00:00,"#OPUSDT  kritik bölgede. 
Gri alanı yakın takipteyim.
Turuncular gibi deviation sonrası bu bölgenin altında kalırsa short arayacağım.
Mavi sonrası fresh olan kırmızı FVG ve alt yaylı bölgenin likiditesi gündem olabilir.
Gri üzerinde kaldıkça short bakmam!
$OP #OP #BTC #Bitcoin https://t.co/sdNckqEyiN",neutral
2023-03-30 23:58:39+00:00,"💰 চাঁদের কারাগার quest... Giveaway ！💰

🏆 Reward:$1 worth of $USDT Tokens

✅ Follow 
✅ Like &amp; RT
✅ Complete DeNet tasks ⤵️
https://t.co/lDDFpQVObS 

🔔Tip: the more invites, the more you earn !

#Cryptos #Airdrops #NFTdrops $ARB $USDT #Giveaway #Airdrop #DeNet",positive
